Название,Группа товара,Цена,Наличие
NSK Nakanishi PanaMax Plus PAPMU M4  ,турбинный наконечник с миниголовкой,16 500 ₽,на складе
Chiromega 654 NK  ,стоматологическая установка с нижней подачей инструментов,507 580 ₽,на складе
HLW ,"Остеотом изогнутый удлиненный, 3,5 мм",3 900 ₽,Под заказ
BienAir iOptima  ,прибор управления с функцией эндодонтии для микромоторов без уголь...,125 110 ₽,на складе
Coxo CX207CSP  ,цветной турбинный наконечник под 2-х или 4-х канальное соединение,4 970 ₽,на складе
Kulzer Meliodent HC  ,"пластмасса горячей полимеризации, 48-розовый с прожилками",19 940 ₽,на складе
Dr.Kim DKT2  ,"бинокулярные лупы с увеличением 2.5х, с настраиваемым межзрачковым и ф...",59 510 ₽,на складе
Mercury ,"Мотор компрессора 100 л для TY W-1,TY W-2, TY W-4, TY W-6",18 000 ₽,на складе
Elma Elmasonic S180H  ,"ультразвуковая мойка, 18 л",207 420 ₽,Под заказ
,"Сонис РМШП ""СОНИС"" - рабочее место для шлифовки и полировки (со шлифмашиной 3.147 и д...",44 500 ₽,на складе
Diplomat Dental KD 224 DB  ,безмасляный компрессор для 2-х стоматологических установо...,147 420 ₽,на складе
KaVo ARCUS digma  ,компьютерная регистрационная система 3D,718 490 ₽,на складе
Song Young Micro Burner I  ,горелка газовая пьезоэлектрическая настольная,2 420 ₽,на складе
EMS AirFlow Classic Comfort Mint  ,"профилактический порошок, вкус мяты, 300 гр",3 850 ₽,в наличии
Codyson CD2820  ,"ультразвуковая мойка, 0,7 л",3 850 ₽,в наличии
Coxo CX2551B  ,"понижающий угловой наконечник с автореверсом для эндодонтии, 10:1",13 700 ₽,в наличии
Asa Dental ,"Шприц карпульный, прямая рукоятка, автоматическая аспирация",2 190 ₽,на складе
Saeshin Strong 105 L  ,"наконечник с щеточным микромотором, 35000 об/мин",12 790 ₽,на складе
NSK Nakanishi E5  ,эндодонтическая насадка к скалерам Varios,4 060 ₽,на складе
Ivoclar Vivadent Centric Tray  ,слепочная ложка для определения центрального соотноше...,4 440 ₽,на складе
,Касимовский Приборный Завод ГП-40-Ох ПЗ - стерилизатор воздушный с системой охлаждени...,38 170 ₽,на складе
BienAir CA 1:5  ,угловой наконечник без подсветки с кнопочным зажимом бора и внутрен...,32 670 ₽,на складе
EMS AirFlow Classic Comfort Cherry  ,"профилактический порошок, вкус вишни, 300 гр",3 850 ₽,на складе
P&T Medical BTD17LA  ,"автоматический автоклав класса B с вакуумной сушкой, 17 л",127 960 ₽,на складе
Bego Regulus  ,вытяжное устройство для муфельных печей Miditherm,56 770 ₽,на складе
Euronda ,"Рулоны для стерилизации с индикатором, бумага-пластик, 50 мм х 200 м",980 ₽,в наличии
Mectron Piezosurgery Touch  ,аппарат для костной хирургии,506 250 ₽,на складе
Chirana P2ED CH660 model 460  ,щеточный электрический микромотор без света,20 640 ₽,на складе
NSK Nakanishi MPF20R  ,"наконечник с миниголовкой для файлов, понижение 20:1, для мот...",24 990 ₽,на складе
Asa Dental ,"Набор элеваторов Asa Dental, 6 шт",16 250 ₽,на складе
,Спарк-Дон Паротерм-50 - пароструйный аппарат,75 000 ₽,на складе
W&H S15  ,"прямой хирургический наконечник с внешним спреем, разборный, 1:1",63 470 ₽,на складе
NSK Nakanishi TiMax X500L  ,турбинный наконечник с миниголовкой и оптикой,32 960 ₽,на складе
Remeza ,"КМ-100.OLD20Т - безмасляный компрессор для 4-x стоматологических установок, бе...",120 860 ₽,на складе
NSK Nakanishi SMax M600  ,"турбинный наконечник со стандартной головкой, с четырехточ...",22 150 ₽,на складе
Remeza ,"КМ-50.OLD20 - безмасляный компрессор для 3-x стоматологических установок, без ...",64 990 ₽,на складе
Zhermack Elite HD Regular Body Normal Set (2,х50ml) - гидросовместимый А-Силикон средн...,1 690 ₽,на складе
Woson COLLIN 20  ,"ультразвуковая мойка 2,1 л",16 000 ₽,на складе
,Сонис Пресс гидравлический для штамповки коронок из нержавеющей стали и обжатия кювет,50 000 ₽,на складе
Tosi TX122  ,одноразовый турбинный наконечник (пластик),620 ₽,в наличии
Dentsply Maillefer Cavitron Select SPS  ,автономный ультразвуковой скалер с резервуаром,164 100 ₽,на складе
Renfert Dustex master plus  ,компактный вытяжной бокс,57 990 ₽,на складе
Dentsply Sirona T3 LINE E 6  ,"понижающий угловой наконечник без света, 6:1",19 990 ₽,на складе
Omec FOX 88/1.0  ,вакуумный смеситель с вакуумным насосом,68 000 ₽,на складе
Elma Elmasonic S100  ,"ультразвуковая мойка (9,5 л)",94 100 ₽,Под заказ
Dr.Kim DKH40  ,"бестеневой налобный осветитель, 50 000 люкс",74 390 ₽,в наличии
NSK Nakanishi P20  ,пародонтологическая насадка к скалерам Varios (для NSK/Satelec),5 750 ₽,на складе
Satelec ,Насадка ET25 к ультразвуковому скалеру для эндодонтического лечения,15 710 ₽,на складе
EMS AirFlow Classic Comfort Lemon  ,"профилактический порошок, вкус лимона, 300 гр",3 850 ₽,на складе
,Сонис Вибростол с прямоугольной рабочей поверхностью,10 000 ₽,на складе
Bego Nautilus  ,"керамические плавильные тигли для литейной установки Nautilus, 4 шт",14 550 ₽,на складе
,Сапфир НУ-40 - наконечник угловой стоматологический,4 000 ₽,на складе
HLW ,Кусачки костные,4 800 ₽,Под заказ
EMS AirFlow Classic Comfort Neutral  ,"профилактический порошок, вкус нейтральный, 30...",3 850 ₽,на складе
NSK Nakanishi Varios 370  ,портативный ультразвуковой скейлер (без оптики),94 720 ₽,Под заказ
Durr Dental Supra Probe  ,насадка гибкая прямая для Vector Paro (3 шт.),3 140 ₽,на складе
Mr.Currete Tech BCS001  ,дрель-канюля для забора аутокости,11 980 ₽,на складе
HLW ,"Лоток для хранения и стерилизации инструментов, 200х100 мм, 15-22A*",900 ₽,Под заказ
NSK Nakanishi TiMax Z85L  ,"угловой наконечник с оптикой, 1:5",55 650 ₽,на складе
Asa Dental ,Гладилка N1 двусторонняя,510 ₽,на складе
NSK Nakanishi TiMax X95  ,"угловой наконечник без оптики, 1:5",36 670 ₽,на складе
Dreve Dentamid LABORMAT SD Set  ,аппарат для выварки воска и полимеризации протезов п...,447 790 ₽,на складе
CleaRay CleaRay CR100  ,"интраоральный визиограф, влагозащищенный, размер 20x30 мм",114 400 ₽,на складе
Cattani MicroSmart  ,стоматологический аспиратор для влажной аспирации на 1-2 установки,120 620 ₽,на складе
NSK Nakanishi SMax M500  ,турбинный наконечник с миниголовкой,16 080 ₽,на складе
Geosoft TermoEst  ,малогабаритный гласперленовый стерилизатор настольного типа,23 300 ₽,на складе
NSK Nakanishi SMax M15  ,"угловой наконечник без оптики, 4:1",23 040 ₽,на складе
Dental Union ACRYCLAVE ,"М - аппарат для холодной полимеризации, 6 л",36 000 ₽,на складе
Dentech ,Техник Сет - набор кламп и инструментов для коффердама,18 090 ₽,на складе
,Аверон УНИ 2.0 МОДИС - индукционный нагреватель инструмента,19 900 ₽,на складе
Mocom B FUTURA 22  ,"автоклав класса B с вакуумной сушкой, 22 л",335 120 ₽,на складе
Ivoclar Vivadent IPS e.max Ceram C4  ,"дентин, 100 г",Свяжитесь с нами насчёт цены,на складе
Runyes VALENCIA 02  ,"стоматологическая установка с верхней подачей инструментов, свет...",347 370 ₽,на складе
Remeza ,"КМ-100.OLD15Т - безмасляный компрессор для 4-x стоматологических установок, бе...",88 650 ₽,на складе
,МедТекс.рф STANDART - ортопедический чехол для стоматологического кресла,5 850 ₽,на складе
HLW ,"Люксатор прямой, 2 мм, 13-1LX*",2 990 ₽,Под заказ
Omec VIBRX15  ,вибростол малый,14 430 ₽,на складе
NSK Nakanishi VALUXHP  ,наконечник с оптикой для ультразвуковых скалеров Varios 750...,43 610 ₽,на складе
HLW ,Щипцы ортодонтические Твида для формирования уступов,7 300 ₽,Под заказ
,"Армед Негатоскоп 1-кадровый, светодиодный",7 500 ₽,в наличии
Elma Elmasonic S15H  ,"ультразвуковая мойка с регулируемым подогревом, 1,75 л",123 490 ₽,Под заказ
,"Стимул+ НУМ-40 б/о - угловой наконечник для микромоторов, без системы охлаждения",2 630 ₽,на складе
NSK Nakanishi TiMax X25  ,"угловой наконечник без оптики, 1:1",42 130 ₽,на складе
Mocom Neutra B NEW  ,"автоклав класса B с вакуумной сушкой, 17 л",134 690 ₽,на складе
3A Medes EV Gasket Splint 030  ,пластины круглые для изготовления ортодонтических шин...,2 150 ₽,на складе
Ivoclar Vivadent IPS e.max Ceram BL3  ,"дентин, 20 г",Свяжитесь с нами насчёт цены,на складе
Cattani Mignon 04  ,клапан электропневматический разделительный,15 900 ₽,на складе
Codyson CD7810A  ,"ультразвуковая мойка, 0,7 л",3 850 ₽,на складе
,Касимовский Приборный Завод ГП-20-Ох ПЗ - стерилизатор воздушный с системой охлаждени...,38 090 ₽,на складе
,Сонис Кювета большая разборная стальная с антикоррозионным покрытием,1 750 ₽,на складе
Coxo CX207GSSP  ,"турбинный наконечник с фиброоптикой, со стандартной головкой, с бы...",13 990 ₽,на складе
Ugin Lectra Press  ,печь для обжига и прессования керамики,577 630 ₽,на складе
Saeyang SDEBM50M/BHS1  ,"наконечник-микромотор, 50000 об/мин",31 380 ₽,на складе
Chiromega 654 Duet  ,"стоматологическая установка, Вариант комплектации: Базовая",407 840 ₽,на складе
Ugin PC 30  ,"муфельная печь для выпаривания воска, предварительного нагрева и прокали...",138 560 ₽,на складе
,"Сапфир НУо-40 - угловой наконечник, микромоторный",4 150 ₽,в наличии
Woodpecker P3  ,"насадка для Woodpecker, для снятия зубного камня в глубоких карманах",900 ₽,на складе
Amann Girrbach Smartwax Duo  ,электрошпатель,37 440 ₽,на складе
SAM Axioquick III (ATB 303)  ,лицевая дуга без дополнительных деталей,31 580 ₽,на складе
Woodpecker UDSN2  ,"модуль скалера, встраиваемый в стоматологическую установку",13 990 ₽,на складе
Arkodor ARZ69  ,"стул врача, цвет S6001",14 450 ₽,на складе
Codyson CD2800  ,"ультразвуковая мойка, 0,6 л",3 620 ₽,на складе
W&H Alegra TE97 RM  ,турбинный наконечник с миниголовкой (для 4-канального соединени...,15 870 ₽,на складе
W&H ELCOMED SA310  ,"хирургический аппарат (физиодиспенсер) c калибровкой, шланг 1,8 м",119 300 ₽,на складе
NSK Nakanishi TiMax XSG25L  ,"наконечник угловой хирургический, внешнее охлаждение, ...",58 760 ₽,на складе
W&H S12  ,"прямой хирургический наконечник с изгибом корпуса и узкой носовой частью, ...",51 140 ₽,на складе
,"ВЗМО СИПС-М-01 - стол тумба (3 ящика, без замка)",18 020 ₽,на складе
,Аверон УЛК 1.0 ВЕРСИЯ АРТ - компрессионная литейная установка для быстрого и качестве...,410 900 ₽,на складе
Renfert Basic mobil  ,"аппарат для пескоструйной обработки с педалью, 25-70 мкм, струй...",51 990 ₽,Под заказ
Amann Girrbach Smartmix X2  ,вакуумный смеситель гипса,119 470 ₽,на складе
Ivoclar Vivadent VP5  ,вакуумный насос (помпа),86 800 ₽,на складе
Dexcowin ADX4000  ,высокочастотный портативный рентген + визиограф + компьютер,723 200 ₽,на складе
W&H Roto Quick RQ54  ,"быстросъемный переходник с генератором LED-подсветки, без регу...",14 760 ₽,на складе
Asa Dental ,Зонд N9 односторонний изогнутый малый Leonardo с полой легкой ручкой,450 ₽,на складе
Silfradent Trimmer 801S  ,сухой триммер для обрезки гипсовых моделей (абразивный диск),43 890 ₽,на складе
Durr Dental Duo  ,"безмасляный компрессор для 2 установок, c осушителем, с ресивером 2...",289 210 ₽,на складе
W&H RC 58  ,"угловой наконечник 1:1, без оптики, без спрея, с защелкой для мотора RC-20",9 050 ₽,на складе
NSK Nakanishi Ultimate UMXLKT  ,система управления коленного типа с бесщеточным микр...,115 300 ₽,на складе
Carestream Dental CS 2200  ,высокочастотный дентальный рентген-аппарат,144 430 ₽,на складе
Durr Dental VistaCam IX  ,интраоральная видеокамера с головкой Cam,157 500 ₽,на складе
NSK Nakanishi SG1  ,насадка для ультразвуковой костной хирургии,10 530 ₽,на складе
HLW ,"Ложка кюретажная Lukas 25-1, 3,0 мм",800 ₽,Под заказ
,"Тион ТИОН А100 - бактерицидный рециркулятор с обслуживаемой площадью до 18 кв. м, с п...",43 900 ₽,на складе
,Сонис Горелка газовая с пьезоподжигом,1 500 ₽,на складе
Asa Dental ,Щипцы N101 для удаления для молочных зубов,4 200 ₽,на складе
Durr Dental V 300 S  ,вакуумная помпа сухой аспирации на 1 стоматологическую установк...,64 000 ₽,на складе
Durr Dental PerioCurette  ,насадка кюрета для Vector Paro (3 шт.),4 800 ₽,на складе
Dentmate ,Световод к полимеризационной лампе Ledex WL-070,2 530 ₽,в наличии
Premier 17  ,"стоматологическая установка с верхней подачей инструментов, стулом врача...",417 580 ₽,на складе
Castellini SKEMA 5  ,стоматологическая установка,1 172 120 ₽,на складе
Yeti Preci Tray  ,"материал светоотверждаемый для изготовления индивидуальных ложек, ц...",7 090 ₽,на складе
Stomadent IMPULS S300 NEO  ,стационарная стоматологическая установка с нижней подачей...,445 920 ₽,на складе
BienAir ,Щетки для микромотора MC2 (1 шт.),1 300 ₽,в наличии
Vatech ,Комплект EzSensor и DX-3000 - высокочастотный портативный дентальный рентген с...,295 700 ₽,на складе
3Shape E2  3D ,сканер,935 000 ₽,на складе
Stomadent GLANC S100  ,стоматологическая установка с нижней подачей инструментов,187 180 ₽,на складе
BienAir STS Trimmer  ,пневматическая станция с турбиной и фрикционным зажимом со спреем,78 430 ₽,на складе
Fedesa Astral Air  ,ультракомпактная стоматологическая установка с нижней/верхней под...,517 540 ₽,на складе
Asa Dental ,"Ложка слепочная, набор S2851-24",3 900 ₽,на складе
Tosi TX41471  ,"угловой наконечник с внутренним охлаждением, кнопочным зажимом и ген...",11 990 ₽,в наличии
NSK Nakanishi E7D  ,эндодонтическая насадка к скалерам Varios,4 620 ₽,на складе
Kuraray Noritake CZR Press LF Luster TBlue  ,расходные цвета 10 г,1 380 ₽,на складе
Elma Elmasonic S60  ,"ультразвуковая мойка, 5,75 л",83 630 ₽,Под заказ
Remeza ,"КМ-24.OLD15К - безмасляный компрессор для 2-x стоматологических установок, без...",128 380 ₽,на складе
,Спарк-Дон Унитерм-75Ш - универсальная муфельная печь,142 310 ₽,на складе
Dentsply Maillefer ,Педаль для эндомотора X-Smart,12 560 ₽,на складе
NSK Nakanishi TiMax Z25L  ,"угловой наконечник с оптикой, 1:1",37 250 ₽,на складе
Woodpecker G5T  ,"насадка для скалеров EMS и Woodpecker, для снятия пришеечных зубных ...",990 ₽,на складе
Asa Dental ,Щипцы N222 для удаления зубов для нижних зубов мудрости,5 250 ₽,на складе
Anthogyr Implanteo LED  ,физиодиспенсер в комплекте с наконечником Mont Blanc XLED 20:1,169 800 ₽,на складе
NSK Nakanishi TiMax Z15L  ,"угловой наконечник с оптикой, 4:1",27 120 ₽,на складе
,Сонис Коронкосниматель пружинный автоматический,2 300 ₽,на складе
HLW ,Торк-щипцы широкие в комплекте с ключом,9 500 ₽,Под заказ
Upcera STML  ,диски 98 мм для CAD/CAM из диоксида циркония окрашенные послойно Multi...,7 810 ₽,на складе
Asa Dental ,"Корнцанг прямой, 20 см",3 330 ₽,на складе
Fedesa Coral NG Air  ,ультракомпактная стоматологическая установка с нижней/верхней п...,517 540 ₽,на складе
BienAir MCX LED  ,встраиваемая система для одного микромотора со светодиодной подсве...,41 070 ₽,на складе
Remeza ,"КМ-24.OLD20 - безмасляный компрессор для 3-x стоматологических установок, без ...",62 970 ₽,на складе
Diplomat Dental Consul DC350  ,навесная стоматологическая установка с верхней подачей...,Свяжитесь с нами насчёт цены,Под заказ
NSK Nakanishi TiMax Z10L  ,"угловой наконечник с оптикой, 16:1",48 110 ₽,на складе
,Ферропласт РБ-18-Я-ФП-01 - облучатель-рециркулятор,11 470 ₽,на складе
Runyes Tinhero 16  ,"автоклав класса В с вакуумной сушкой, 16 л",136 580 ₽,на складе
Coxo CX2352  ,"прямой наконечник без оптики, 1:1",3 950 ₽,в наличии
Densim Dublin U 1:1 LUX  ,"угловой наконечник со съемной головкой, керамическими подши...",30 660 ₽,на складе
Ray RAYSCAN Symphony aP  ,ортопантомограф с возможностью дооснащения цефалостатом и ...,Свяжитесь с нами насчёт цены,на складе
Mercury 777  ,прямой наконечник с наружным охлаждением,4 990 ₽,на складе
Tonsor Ton & Shuo 23B+  ,"автоматический автоклав класса B с встроенным принтером, 23 л",121 020 ₽,на складе
,Спарк-Дон Центролит-90 - индукционная центробежная литейная установка,400 000 ₽,на складе
VoVo Pragmatic LED Light  ,светополимеризационная лампа,7 200 ₽,на складе
Dreve Dentamid POLYMAX5  ,установка для полимеризации под давлением с возможностью р...,207 070 ₽,на складе
Kuraray Noritake CZR Modifier Dark Pink  ,интенсив 10 г,1 110 ₽,на складе
Durr Dental Vector Cleaner  ,"раствор для очистки систем Vector, 2,5 л.",2 910 ₽,на складе
3A Medes EV Gasket Mouthguard 160  ,пластины квадратные для изготовления защитных кап...,1 780 ₽,на складе
,Сонис Чашка для замешивания гипса большая V 500 мл (различных цветов),190 ₽,в наличии
NSK Nakanishi SGT2E  ,"наконечник хирургический для микропил, понижение 3:1",75 070 ₽,на складе
NSK Nakanishi TiMax X65  ,"прямой наконечник без света, 1:1",49 520 ₽,на складе
Renfert Hotty  ,воскотопка,14 990 ₽,на складе
Elma Elmasonic S900 H  ,"ультразвуковая мойка с подогревом, 90 л",419 480 ₽,Под заказ
Dental X DOMINA PLUS B 18L  ,автоматический автоклав класса B с вакуумной сушкой и бы...,231 870 ₽,на складе
Mercury 351K  ,турбинный наконечник,10 990 ₽,на складе
BienAir 4VLM  ,серый шланг для турбин и микромоторов Aquilon и MC3,8 040 ₽,на складе
TehnoDent ,"Рутдент быстротвердеющий (20 доз по 0,25 гр) на основе МТА для закрытия пер...",2 830 ₽,на складе
Dentsply Sirona HELIODENT PLUS  ,аппарат для интраоральной рентгенографии,262 650 ₽,на складе
HLW ,"Иглодержатель микрохирургический прямой Castroviejo-Gomel TC, 18см",8 990 ₽,Под заказ
Woson COLLIN 60  ,ультразвуковая мойка 5 л,45 000 ₽,на складе
,"Дентис С1РМ - стол рабочий однотумбовый (зуботехнический) 1200 мм, базовый вариант на...",72 000 ₽,на складе
Ivoclar Vivadent IPS e.max Ceram Deep Dentin 20 ,гр./шт. D3,4 900 ₽,на складе
,"Амико Фартук рентгенозащитный односторонний со стойкой Pb=0,25 (резина)",11 060 ₽,в наличии
Kulzer Meliodent RR  ,"жидкость для замешивания пластмассы холодной полимеризации, 42-...",12 280 ₽,на складе
BienAir Bora  ,"турбинный наконечник с LED подсветкой, керамическими подшипниками, кн...",48 990 ₽,на складе
"Geistlich Pharma BIOOSS  0,5 ","г, гранулы 0,25-1 мм, размер S, натуральный костнозаме...",8 520 ₽,на складе
Elma Elmasonic S120H  ,"ультразвуковая мойка, 12,75 л",293 930 ₽,Под заказ
Elma Elmasonic S40  ,"ультразвуковая мойка, 4,25 л",72 240 ₽,Под заказ
W&H S9  ,"угловой хирургический наконечник с внешним спреем, разборный, 1:1",63 350 ₽,на складе
,Сонис Комплект бензогорелочный для пайки,3 900 ₽,на складе
BienAir Optima MCX INT  ,прибор управления для двух микромоторов со светодиодной под...,147 180 ₽,на складе
HLW ,"Гладилка дистальная комбинированная с шаровидным штопфером, 1,5 мм, 29-27*",700 ₽,Под заказ
Getidy KD12A  ,автоматический электронный вакуумный автоклав с паровым генератором ...,129 000 ₽,на складе
Elma Elmasonic S15  ,"ультразвуковая мойка, 1,75 л",48 560 ₽,Под заказ
Song Young Labo Mate 100  ,"артикулятор на магнитах, тип Keystone",6 990 ₽,на складе
Elma Elmasonic S120  ,"ультразвуковая мойка, 12,75 л",126 000 ₽,Под заказ
Woodpecker G4  ,"насадка к скалеру Woodpecker, для удаления налета (от табака, чая, кофе)",700 ₽,на складе
KaVo SMARTmatic S20S  ,угловой наконечник,14 440 ₽,на складе
NSK Nakanishi TiMax X35  ,"угловой наконечник без оптики, 10:1",57 650 ₽,на складе
Melag MELAdem 40  ,деминерализатор для водоподготовки,48 400 ₽,на складе
Renfert Basic master  ,"аппарат для тонкоструйной обработки, 25-70 мкм",120 700 ₽,Под заказ
Satelec SP 4055  ,встраиваемый ультразвуковой скалер с насадками,93 070 ₽,на складе
DeguDent Duceram Kiss D4  ,порошковые опаки 75 г,Свяжитесь с нами насчёт цены,Под заказ
,"Алком Медика АЛОД-01 - хирургический диодный лазерный аппарат (0.96, 1.064 мкм), 30 Вт",672 000 ₽,на складе
Denjoy Joypex 5  ,цифровой апекслокатор 5-го поколения,14 060 ₽,на складе
Kuraray Noritake CZR Luster Incisal Aureola  ,люстровый фарфор 10 г,1 330 ₽,на складе
Saeyang SDESH37L ,"М 45 - наконечник-микромотор, 40000 об/мин",9 240 ₽,на складе
Durr Dental Paro Probe  ,насадка изогнутая для Vector Paro (3 шт.),3 260 ₽,на складе
DTE PD1  ,"насадка для скалеров Woodpecker, пародонтологическая (подходит к DTE, Satel...",600 ₽,на складе
,КМИЗ ММП 20-01 - микромотор пневматический B2,6 500 ₽,на складе
Omec BIP 2.00  ,"двухсторонний, двухскоростной шлифмотор",55 260 ₽,на складе
W&H Synea Vision WK56 LT  ,"угловой наконечник со светом и кнопочным зажимом бора, 1:1",35 880 ₽,на складе
KaVo SURGmatic S201 XL  ,"угловой наконечник со светом, зажимом hexagon clamping syste...",58 430 ₽,на складе
Kettenbach Futar D  ,материал для регистрации прикуса (2х50 ml),3 310 ₽,на складе
Durr Dental Paro Probe  ,насадка прямая для Vector Paro (3 шт.),3 010 ₽,на складе
HLW ,"Гладилка комбинированная со штопфером, 2,5-1,5 мм",700 ₽,Под заказ
Premier 18 Comfort  ,"стоматологическая установка с нижней подачей инструментов, стуло...",517 360 ₽,на складе
Renfert Millo  ,фрезерный аппарат,62 400 ₽,на складе
Elma Elmasonic S70H  ,"ультразвуковая мойка, 6,9 л",111 830 ₽,Под заказ
Elma Elmasonic S150  ,"ультразвуковая мойка, 14 л",288 140 ₽,Под заказ
HLW ,"Распатор Prichard, 17,5 см, 4,5-10,5мм",1 500 ₽,Под заказ
Baolai Medical Bool B6 LED  ,автономный скалер со светом,33 260 ₽,на складе
Asa Dental ,"Шприц карпульный с одним кольцом и одним половинчатым кольцом, ручная аспи...",1 600 ₽,в наличии
Swidella Xelia V8  ,радиовизиографическая система синего цвета,166 040 ₽,на складе
EMS AirFlow Plus  ,"профилактический порошок на основе эритритола, 120 гр",4 480 ₽,в наличии
Elma Elmasonic S90 H  ,"ультразвуковая мойка с подогревом, 7,5 л",124 480 ₽,Под заказ
Asa Dental ,"Ручка для зеркал Leonardo, нержавеющая сталь, 120,4 мм",300 ₽,на складе
Directa L2S  ,"люксатор периотом 2 мм, прямой",8 400 ₽,на складе
HLW ,Щипцы для удаления зубов верхние корневые 11-51,4 400 ₽,Под заказ
VDW ,Картридж для BeeFill 23G / 0.6 мм,5 930 ₽,на складе
DeguDent Duceram Plus S 4  ,"массы режущего края, 75 гр",7 490 ₽,Под заказ
HLW ,"Пинцет хирургический Adson, 120 мм",1 100 ₽,Под заказ
Youjoy BES22LB  ,"автоклав класса B с вакуумной сушкой, 22 л",142 030 ₽,на складе
BienAir ,Набор одноразовых ирригационных трубок к системе Chiropro (10 шт.),6 600 ₽,на складе
BienAir ,Серый шланг с фиксированным стыковочным гнездом для микромотора MC2 40 LK,13 320 ₽,на складе
,"Микрон НТКС-300-01 М4 - турбинный наконечник, со стальными подшипниками, стандартной ...",4 870 ₽,в наличии
,"Экрадент 07-18 - гладилка фиссурная зерновидная 1,6/2,5",2 370 ₽,на складе
Densim Quick Led  ,быстросъемный переходник мультифлекс с LED подсветкой,11 770 ₽,на складе
TrollDental TrollBag  ,чехол датчика радиовизиографа (500 шт) (Чехлы XL - для всех да...,42 000 ₽,на складе
Melag MELAdem 47  ,деминерализатор на основе обратного осмоса,88 140 ₽,на складе
,Спарк-Дон АПС-21 - пескоструйный аппарат (для грубой обработки),65 000 ₽,на складе
Mocom B FUTURA 17  ,"автоклав класса B с вакуумной сушкой, 17 л",230 100 ₽,на складе
W&H ,"Угловой наконечник стоматологический WS-92 L G с генератором света, с внешним спр...",50 600 ₽,в наличии
Velopex AquaCare Single  ,стоматологическая водно-абразивная система,126 290 ₽,Под заказ
Asa Dental ,Ручка для зеркал Magic Color с силиконовой ручкой,710 ₽,на складе
Dentsply Sirona SiroNiTi Apex  ,эндодонтический наконечник для работы с апекслокаторо...,61 820 ₽,на складе
Saeshin Strong 102 L  ,"наконечник для микромотора, 35000 об/мин, щеточный",8 750 ₽,на складе
HLW ,"Иглодержатель хирургический прямой Mayo-Hegar TC, 16см",7 990 ₽,Под заказ
Saeyang Marathon3 Champion New  ,"щеточный зуботехнический микромотор, с педалью, белый",4 280 ₽,на складе
Mercury 3600  ,"стоматологическая установка с нижней подачей инструментов, черный",444 890 ₽,на складе
Arkodor ARZ64F  ,"стул медицинский с опорой для ног, цвет S5154",15 300 ₽,на складе
,Ферропласт СММП-08-«Я-ФП» - стол медицинский металлический передвижной с выдвижным ящ...,20 990 ₽,на складе
NSK Nakanishi TiMax X35L  ,"угловой наконечник с оптикой, 10:1",65 410 ₽,на складе
BioArt Cristal (PETG)  ,"пластины термопластичные для вакуумформера, жесткие, 1,0 мм...",1 750 ₽,в наличии
Amann Girrbach Ceramill Map 400  ,полностью автоматический сканер,1 300 340 ₽,на складе
Renfert Hotty LED  ,воскотопка c индикацией заданной и фактической температуры на дис...,17 400 ₽,на складе
,"Смоленское СКТБ ГП-20 СПУ - стерилизатор воздушный, с охлаждением (20 л)",41 520 ₽,на складе
DTE TD1L  ,ключ для насадок скалеров DTE,1 600 ₽,Под заказ
Ivoclar Vivadent IPS e.max Ceram Shade  ,"пастообразные красители 3 гр., I1",4 990 ₽,на складе
W&H TA98 / 98 L Rotor  ,роторная группа к турбинным наконечникам TA-98 / 98 L Synea,11 310 ₽,на складе
BienAir CA 1:5 L MicroSeries  ,"угловой наконечник с подсветкой, кнопочным зажимом б...",45 990 ₽,на складе
NSK Nakanishi VA2HP  ,наконечник без оптики для ультразвуковых скалеров Varios 970/170,25 710 ₽,на складе
,Спарк-Дон АПС-20 - пескоструйный аппарат (для тонкой обработки),65 000 ₽,на складе
Coxo CX207WSP  ,"турбинный наконечник со стандартной головкой, под 2-х или 4-х канал...",6 150 ₽,на складе
Renfert Vario E  ,воскотопка,31 500 ₽,на складе
Dreve Dentamid POLYMAX1  ,установка для полимеризации под давлением с возможностью р...,115 780 ₽,на складе
Gravitonus EZDuo Back Country  ,"раздвоенный стул-седло со спинкой, твердая натуральна...",32 000 ₽,в наличии
Song Young Flat Type  ,"окклюдатор пластиковый одноразовый с плоской направляющей, 100 шт",1 890 ₽,на складе
Dentsply Maillefer Jet Mate  ,наконечник к скалеру Cavitron,15 470 ₽,на складе
Arkodor ARZ32F  ,"стул лабораторный с подножкой для ног, цвет S5154",15 300 ₽,на складе
,"ШМ ""СОНИС"" 3.147 - шлифовальная машина односкоростная, двухсторонняя",23 500 ₽,на складе
W&H Alegra WE66 LED G  ,понижающий угловой наконечник с генератором света и стандарт...,30 810 ₽,на складе
"Geistlich Pharma BIOOSS  2,0 ","г, гранулы 1-2 мм, размер L, натуральный костнозамещаю...",29 320 ₽,на складе
,"Дентис С1РМ - стол рабочий однотумбовый (зуботехнический) 1830 мм, базовый вариант на...",110 000 ₽,на складе
NSK Nakanishi Ultimate UMXLDT  ,настольно-вертикальная система с бесщеточным микромо...,109 930 ₽,на складе
Song Young ,Горелка спиртовая (пластиковый флакон),850 ₽,на складе
Kuraray Noritake EX3 PRESS LF LUSTER SUN BRIGHT  ,люстровый фарфор для пресскерамики...,1 320 ₽,Под заказ
HLW ,"Люксатор прямой, 4 мм, 13-3LX*",2 990 ₽,Под заказ
