Название,Группа товара,Цена,Наличие
Durr Dental Vector Paro  ,пародонтологический центр,207 900 ₽,на складе
NSK Nakanishi SMax M600L  ,турбинный наконечник со стандартной головкой и оптикой,36 480 ₽,на складе
Durr Dental VistaScan Mini Easy  ,сканер рентгенографических пластин,349 770 ₽,на складе
P&T Medical BTD23LA  ,"автоматический автоклав класса B с вакуумной сушкой, 23 л",171 600 ₽,на складе
Saeyang Marathon Escort II PRO  ,белый щеточный зуботехнический микромотор с наконечн...,13 320 ₽,на складе
,"МедПрибор Прима Д - мобильный дентальный операционный микроскоп с LED-подсветкой, оку...",547 000 ₽,на складе
Dentsply Maillefer EndoActivator  ,эндодонтическое устройство для промывки и дезинфек...,53 000 ₽,на складе
Dexcowin DX3000  ,высокочастотный портативный рентген-аппарат,146 490 ₽,в наличии
BioArt Plastvac P7  ,"вакуумформер для изготовления временных коронок, защитных капп ...",31 620 ₽,на складе
,Аверон ЭОТ 1.1 - определитель состояния пульпы зуба (электроодонтотестер),20 900 ₽,на складе
Ivoclar Vivadent IPS e.max Ceram A1  ,"дентин, 20 г",3 920 ₽,на складе
,КМИЗ НУПМ-40 - наконечник угловой микромоторный с кнопочным зажимом бора,3 780 ₽,в наличии
,"Микрон НТС-300-05 М4 - турбинный наконечник со стальными подшипниками, стандартной го...",3 600 ₽,в наличии
Medstore Medstore2 Plus  ,"бактерицидный рециркулятор (2 лампы, 2 вентилятора)",15 600 ₽,в наличии
Ivoclar Vivadent Programat P310  ,печь для обжига дентальных керамических масс,280 000 ₽,на складе
,Кронт ОРУБн-3-3 - облучатель-рециркулятор воздуха ультрафиолетовый бактерицидный наст...,16 620 ₽,на складе
Zeiss EyeMag Pro F  ,"бинокулярные лупы на оправе, рабочее расстояние 450 мм, увеличен...",202 910 ₽,на складе
Coxo CX207GL  ,"турбинный наконечник с фиброоптикой, с ортопедической головкой, для 6...",7 990 ₽,на складе
VDW BeeFill 2 in 1  ,обтурационная система для вертикальной конденсации гуттаперчи и ...,194 500 ₽,на складе
Mercury HK2EW35 (ND100)  ,безмасляный компрессор для 1-2 стоматологических установ...,40 500 ₽,на складе
Dentsply Sirona T2 LINE A 40 L  ,"угловой наконечник со светом, 1:1",21 990 ₽,на складе
Gravitonus EZDuo Back  ,"раздвоенный стул-седло врача-стоматолога со спинкой, светло-с...",23 400 ₽,на складе
Azimut 200A MO  ,"стоматологическая установка с нижней подачей инструментов, мягкой об...",251 290 ₽,на складе
BienAir MC2 IR  ,"электрический микромотор с угольными щетками, без подсветки",30 740 ₽,на складе
Ultratech Ultratech SD780  ,гласперленовый стерилизатор,12 200 ₽,на складе
Melag MELAquick 12+  ,автоклав для быстрой стерилизации наконечников и мелких инструм...,263 130 ₽,на складе
IcanClave STE23  ,"автоматический автоклав класса B с вакуумной сушкой, 23 л",206 700 ₽,на складе
Gravitonus Tiny Duo  ,"эргономичный и компактный стул-седло, двуразделенное седло, чёр...",19 200 ₽,в наличии
NSK Nakanishi Varios 970 LUX  ,многофункциональный портативный ультразвуковой скалер ...,115 500 ₽,на складе
P&T Medical PT Distiller  ,"дистиллятор, емкость 4 л (0,7 л/час)",13 500 ₽,в наличии
Swidella Xelium Ultra PD  ,портативный дентальный рентген,98 180 ₽,на складе
W&H Implantmed SI923  ,"хирургический аппарат (физиодиспенсер), с наконечником WI-75 ...",163 300 ₽,на складе
W&H Implantmed SI923  ,"хирургический аппарат (физиодиспенсер), с наконечником WS-75 ...",181 440 ₽,на складе
Codyson CD4821  ,"ультразвуковая мойка с подогревом, 2,5 л",8 510 ₽,на складе
DTE D6 LED  ,"автономный ультразвуковой скалер с фиброоптикой, 6 насадок в комплекте",24 990 ₽,на складе
Gravitonus EZDuo  ,"эргономичный стул-седло для врача-стоматолога, двуразделенное седл...",20 700 ₽,на складе
DTE DPEX I  ,электронно-цифровой апекслокатор,17 500 ₽,в наличии
IcanClave STE8  ,"автоматический автоклав класса B с вакуумной сушкой, 8 л",146 560 ₽,на складе
NSK Nakanishi EndoMate TC2 MPA  ,беспроводной эндодонтический микромотор с возможнос...,66 600 ₽,на складе
,Сонис Зуботехническая наклонная плоскость для сглаживания окклюзионной поверхности во...,2 250 ₽,в наличии
W&H Implantmed SI923  ,"хирургический аппарат (физиодиспенсер), без наконечника",135 700 ₽,на складе
DTE LUX E simple  ,беспроводная полимеризационная лампа,6 990 ₽,в наличии
Medstore  ,"бактерицидный рециркулятор (2 лампы, 2 вентилятора)",11 800 ₽,в наличии
Kuraray Noritake EX3 NP2.5B  ,дентин 10 г,810 ₽,на складе
Zeiss EyeMag Smart  ,"налобные бинокулярные лупы с увеличением 2.5x, рабочее расстояни...",145 930 ₽,на складе
Mercury 330 Standart  ,стоматологическая установка с нижней подачей инструментов,236 250 ₽,на складе
Euronda Aquadist  ,"аквадистиллятор, 4 л",17 760 ₽,на складе
,"Аверон ОГП 2.0 МИНИ - гипсоотстойник, небольшой проточный отделитель гипса, 15 л.",5 400 ₽,на складе
Instrumentarium OP300 Maxio  ,"цифровой томограф с функцией 3D-томографии, со стандарт...",4 222 330 ₽,на складе
Legrin 640/00  ,"электрохирургический скальпель-коагулятор, в комплекте с электродами",58 360 ₽,на складе
Saeshin TRAUS SIP10 (XCUBE)  ,"хирургический аппарат (физиодиспенсер) с наконечником,...",149 000 ₽,в наличии
Ronvig Dento Prep  ,пескоструйный аппарат,47 470 ₽,на складе
,Ферропласт КБ-02-Я-ФП - ультрафиолетовая бактерицидная камера для хранения стерильног...,21 300 ₽,на складе
VDW Raypex 5  ,цифровой апекслокатор 5-го поколения,83 870 ₽,на складе
Ajax AJ 12  ,"стоматологическая установка с нижней подачей инструментов, полиуретан/се...",430 140 ₽,на складе
NSK Nakanishi Surgic AP  ,хирургический аппарат (физиодиспенсер) с наконечником S-Max...,208 380 ₽,на складе
